"normalised chord c/R(Radial station r/R), created by Plot Digitizer, 2.6.11"
"Date: 13/02/2024, 16:13:38"


30
Radial station r/R,normalised chord c/R
0.0891003,0.0534060,
0.114187,0.0653951,
0.153114,0.0991826,
0.198097,0.142779,
0.245675,0.177657,
0.293253,0.199455,
0.340830,0.204905,
0.388408,0.199455,
0.434256,0.188556,
0.480969,0.176567,
0.525087,0.164578,
0.568339,0.154768,
0.609862,0.147139,
0.650519,0.139510,
0.688581,0.134060,
0.724913,0.127520,
0.759516,0.123161,
0.792388,0.117711,
0.822664,0.113352,
0.851211,0.107902,
0.877163,0.102452,
0.900519,0.0959128,
0.921280,0.0882834,
0.940311,0.0795640,
0.956747,0.0697548,
0.969723,0.0599455,
0.980969,0.0479564,
0.989619,0.0359673,
0.994810,0.0239782,
0.998270,0.0141689,
