"twist angle (deg)(Radial position r/R), created by Plot Digitizer, 2.6.11"
"Date: 13/02/2024, 18:04:32"


29
Radial position r/R,twist angle (deg)
0.0886515,16.4354,
0.113774,16.8707,
0.152758,17.4694,
0.197805,17.7415,
0.244586,17.3605,
0.293098,16.0544,
0.340745,14.3129,
0.388392,12.1905,
0.434306,10.8299,
0.481086,9.63265,
0.525267,8.59864,
0.568582,7.61905,
0.610165,6.74830,
0.650881,5.98639,
0.688998,5.22449,
0.725383,4.62585,
0.760901,4.02721,
0.792954,3.48299,
0.823563,3.04762,
0.851863,2.57596,
0.877852,2.17687,
0.900953,1.81406,
0.922899,1.52381,
0.940803,1.26984,
0.957551,0.979592,
0.970835,0.653061,
0.980653,0.290249,
0.989893,0.181406,
0.997979,0.108844,
